id_number,place,cat_place,age_category,sex,2.5km_seconds,5km_seconds,7.5km_seconds,total_seconds
3001,6365,2028.0,35-44,M,697.0,1422.0,2153.0,3006
3002,2155,450.0,45-54,M,598.0,1256.0,1892.0,2663
3003,11204,634.0,55+,M,742.0,1473.0,2288.0,3307
3005,17399,4451.0,35-44,M,913.0,1764.0,2620.0,3616
3006,17506,3472.0,45-54,M,914.0,1763.0,2620.0,3621
3007,20010,732.0,16-19,M,768.0,1653.0,2583.0,3773
3009,5758,246.0,16-19,M,704.0,1432.0,2125.0,2970
3010,6539,1701.0,23-34,M,858.0,1533.0,2203.0,3018
3011,5292,1731.0,35-44,M,749.0,1436.0,2127.0,2941
3012,11914,2807.0,23-34,M,810.0,1592.0,2381.0,3342
3013,33022,5648.0,45-54,M,1147.0,2324.0,3469.0,5196
3014,19375,4796.0,35-44,M,953.0,1864.0,2711.0,3734
3015,28276,938.0,16-19,M,1066.0,2069.0,3067.0,4424
3016,24328,5648.0,35-44,M,1017.0,1969.0,2915.0,4079
3018,9823,2881.0,35-44,M,738.0,1465.0,2253.0,3229
3020,997,22.0,55+,M,616.0,1196.0,1753.0,2474
3021,12316,2594.0,45-54,M,873.0,1669.0,2435.0,3363
3023,2600,544.0,45-54,M,702.0,1324.0,1939.0,2713
3024,14452,2945.0,45-54,M,860.0,1678.0,2486.0,3471
3025,25426,5847.0,35-44,M,981.0,1942.0,2851.0,4163
3026,10179,2962.0,35-44,M,,1475.0,2241.0,3251
3027,3067,148.0,16-19,M,735.0,1406.0,2031.0,2764
3028,24223,4505.0,45-54,M,1066.0,2048.0,3008.0,4072
3029,18752,705.0,16-19,M,733.0,1641.0,2635.0,3696
3031,1897,709.0,35-44,M,664.0,1280.0,1900.0,2634
3032,4134,1127.0,23-34,M,660.0,1330.0,2022.0,2855
3034,16574,3311.0,45-54,M,923.0,1814.0,2659.0,3575
3035,27014,4880.0,45-54,M,1033.0,2045.0,3049.0,4300
3036,368,69.0,45-54,M,549.0,1109.0,1654.0,2303
3037,1818,370.0,45-54,M,664.0,1292.0,1886.0,2621
3038,14853,3416.0,23-34,M,813.0,1660.0,2486.0,3491
3039,9328,2003.0,45-54,M,861.0,1609.0,2342.0,3196
3040,6917,1788.0,23-34,M,793.0,1521.0,2202.0,3042
3042,4753,1010.0,45-54,M,723.0,1402.0,2080.0,2904
3043,4865,209.0,55+,M,749.0,1452.0,2120.0,2911
3044,27639,921.0,16-19,M,1059.0,2105.0,3117.0,4354
3045,16716,1011.0,55+,M,836.0,1682.0,2547.0,3583
3046,22756,4291.0,45-54,M,950.0,1889.0,2825.0,3962
3047,2965,1035.0,35-44,M,663.0,1298.0,1951.0,2753
3048,1746,51.0,55+,M,649.0,1258.0,1866.0,2610
3049,2865,1000.0,35-44,M,618.0,1263.0,1924.0,2742
3050,1815,369.0,45-54,M,649.0,1282.0,1894.0,2620
3051,885,179.0,45-54,M,584.0,1183.0,1768.0,2453
3052,11142,3174.0,35-44,M,791.0,1553.0,2326.0,3305
3053,9705,2358.0,23-34,M,739.0,1502.0,2289.0,3221
3054,3440,935.0,23-34,M,750.0,1423.0,2062.0,2798
3055,27537,5362.0,23-34,M,1073.0,2117.0,3090.0,4346
3056,1770,85.0,16-19,M,615.0,1232.0,1856.0,2614
3057,739,146.0,45-54,M,575.0,1173.0,1756.0,2423
3058,3592,977.0,23-34,M,666.0,1309.0,1958.0,2813
